"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 20 11:03:09 WAT 2023","Wed Sep 20 11:03:10 WAT 2023","754","firefox","","Verify page loading","","","/pronostico-final-champions.html Check existence of Title",""
"passed","Wed Sep 20 11:04:10 WAT 2023","Wed Sep 20 11:04:11 WAT 2023","984","webkit","","Verify page loading","","","/casino/ Check existence of Casino Vertical",""
"passed","Wed Sep 20 11:02:18 WAT 2023","Wed Sep 20 11:02:19 WAT 2023","960","chromium","","Verify page loading","","","// Check existence of *last news*",""
"passed","Wed Sep 20 11:02:09 WAT 2023","Wed Sep 20 11:02:10 WAT 2023","1351","chromium","","Verify page loading","","","/news.html/ Check existence of *Breadcrumb*",""
"passed","Wed Sep 20 11:03:36 WAT 2023","Wed Sep 20 11:03:40 WAT 2023","3400","webkit","","Verify page loading","","","// Check existence of *Les meilleurs casinos en ligne évalués par nos experts*",""
"passed","Wed Sep 20 11:02:28 WAT 2023","Wed Sep 20 11:02:29 WAT 2023","511","chromium","","Verify page loading","","","/pronostico-final-champions.html Check existence of CTA Link: APOSTAR EN LEGEND PLAY SPORTS",""
"passed","Wed Sep 20 11:03:16 WAT 2023","Wed Sep 20 11:03:17 WAT 2023","760","firefox","","Verify page loading","","","/ Check existence of Age restriction +18",""
"passed","Wed Sep 20 11:02:10 WAT 2023","Wed Sep 20 11:02:11 WAT 2023","811","chromium","","Verify page loading","","","/news.html/ Check existence of *Read more button*",""
"passed","Wed Sep 20 11:02:32 WAT 2023","Wed Sep 20 11:02:32 WAT 2023","620","chromium","","Verify page loading","","","/ Check existence of Top casinos",""
"passed","Wed Sep 20 11:02:31 WAT 2023","Wed Sep 20 11:02:32 WAT 2023","715","chromium","","Verify page loading","","","/ Check existence of Bookmaker Vertical",""
"passed","Wed Sep 20 11:02:33 WAT 2023","Wed Sep 20 11:02:34 WAT 2023","582","chromium","","Verify page loading","","","/ Check existence of newsletter",""
"passed","Wed Sep 20 11:02:27 WAT 2023","Wed Sep 20 11:02:28 WAT 2023","825","chromium","","Verify page loading","","","/pronostico-final-champions.html Check existence of Title",""
"passed","Wed Sep 20 11:03:19 WAT 2023","Wed Sep 20 11:03:29 WAT 2023","9670","webkit","","Verify page loading","","","/news.html/ Check existence of *News bloc*",""
"passed","Wed Sep 20 11:02:37 WAT 2023","Wed Sep 20 11:02:52 WAT 2023","15640","firefox","","Verify page loading","","","/news.html/ Check existence of *News bloc*",""
"passed","Wed Sep 20 11:04:06 WAT 2023","Wed Sep 20 11:04:07 WAT 2023","1165","webkit","","Verify page loading","","","/pronostico-final-champions.html Check existence of Pronostic Image",""
"passed","Wed Sep 20 11:03:44 WAT 2023","Wed Sep 20 11:03:46 WAT 2023","2356","webkit","","Verify page loading","","","// Check existence of *casino of the month*",""
"passed","Wed Sep 20 11:04:16 WAT 2023","Wed Sep 20 11:04:17 WAT 2023","1318","webkit","","Verify page loading","","","/ Check existence of newsletter",""
"passed","Wed Sep 20 11:04:13 WAT 2023","Wed Sep 20 11:04:15 WAT 2023","1146","webkit","","Verify page loading","","","/ Check existence of toplists",""
"passed","Wed Sep 20 11:02:33 WAT 2023","Wed Sep 20 11:02:33 WAT 2023","581","chromium","","Verify page loading","","","/ Check existence of casino Du Mois",""
"passed","Wed Sep 20 11:03:49 WAT 2023","Wed Sep 20 11:03:53 WAT 2023","4141","webkit","","Verify page loading","","","// Check existence of *last news*",""
"passed","Wed Sep 20 11:02:53 WAT 2023","Wed Sep 20 11:02:54 WAT 2023","1147","firefox","","Verify page loading","","","/news.html/ Check existence of *Read more button*",""
"passed","Wed Sep 20 11:04:05 WAT 2023","Wed Sep 20 11:04:06 WAT 2023","758","webkit","","Verify page loading","","","/pronostico-final-champions.html Check existence of Title",""
"passed","Wed Sep 20 11:02:11 WAT 2023","Wed Sep 20 11:02:14 WAT 2023","3450","chromium","","Verify page loading","","","// Check existence of *123BLACKJACK header*",""
"passed","Wed Sep 20 11:03:53 WAT 2023","Wed Sep 20 11:03:57 WAT 2023","3570","webkit","","Verify page loading","","","// Check existence of *Age restriction +18*",""
"passed","Wed Sep 20 11:02:14 WAT 2023","Wed Sep 20 11:02:15 WAT 2023","999","chromium","","Verify page loading","","","// Check existence of *Les meilleurs casinos en ligne évalués par nos experts*",""
"passed","Wed Sep 20 11:03:32 WAT 2023","Wed Sep 20 11:03:36 WAT 2023","4735","webkit","","Verify page loading","","","// Check existence of *123BLACKJACK header*",""
"passed","Wed Sep 20 11:03:46 WAT 2023","Wed Sep 20 11:03:49 WAT 2023","2949","webkit","","Verify page loading","","","// Check existence of *payment options*",""
"passed","Wed Sep 20 11:02:19 WAT 2023","Wed Sep 20 11:02:21 WAT 2023","1461","chromium","","Verify page loading","","","// Check existence of *Age restriction +18*",""
"passed","Wed Sep 20 11:03:12 WAT 2023","Wed Sep 20 11:03:13 WAT 2023","658","firefox","","Verify page loading","","","/casino/ Check existence of Casino Vertical",""
"passed","Wed Sep 20 11:04:15 WAT 2023","Wed Sep 20 11:04:16 WAT 2023","1036","webkit","","Verify page loading","","","/ Check existence of casino Du Mois",""
"passed","Wed Sep 20 11:04:07 WAT 2023","Wed Sep 20 11:04:07 WAT 2023","753","webkit","","Verify page loading","","","/pronostico-final-champions.html Check existence of CTA Link: APOSTAR EN LEGEND PLAY SPORTS",""
"passed","Wed Sep 20 11:03:00 WAT 2023","Wed Sep 20 11:03:01 WAT 2023","991","firefox","","Verify page loading","","","// Check existence of *casino of the month*",""
"passed","Wed Sep 20 11:03:10 WAT 2023","Wed Sep 20 11:03:11 WAT 2023","513","firefox","","Verify page loading","","","/pronostico-final-champions.html Check existence of CTA Link: APOSTAR EN LEGEND PLAY SPORTS",""
"passed","Wed Sep 20 11:03:30 WAT 2023","Wed Sep 20 11:03:32 WAT 2023","1202","webkit","","Verify page loading","","","/news.html/ Check existence of *Read more button*",""
"passed","Wed Sep 20 11:02:30 WAT 2023","Wed Sep 20 11:02:31 WAT 2023","672","chromium","","Verify page loading","","","/casino/ Check existence of Casino Vertical",""
"passed","Wed Sep 20 11:02:21 WAT 2023","Wed Sep 20 11:02:27 WAT 2023","6053","chromium","","Verify page loading","","","/pronostico-final-champions.html Check existence of pronostic block",""
"passed","Wed Sep 20 11:03:57 WAT 2023","Wed Sep 20 11:04:05 WAT 2023","7927","webkit","","Verify page loading","","","/pronostico-final-champions.html Check existence of pronostic block",""
"passed","Wed Sep 20 11:02:34 WAT 2023","Wed Sep 20 11:02:35 WAT 2023","916","chromium","","Verify page loading","","","/ Check existence of Age restriction +18",""
"passed","Wed Sep 20 11:04:11 WAT 2023","Wed Sep 20 11:04:12 WAT 2023","1605","webkit","","Verify page loading","","","/ Check existence of Bookmaker Vertical",""
"passed","Wed Sep 20 11:02:32 WAT 2023","Wed Sep 20 11:02:33 WAT 2023","564","chromium","","Verify page loading","","","/ Check existence of toplists",""
"passed","Wed Sep 20 11:03:15 WAT 2023","Wed Sep 20 11:03:16 WAT 2023","550","firefox","","Verify page loading","","","/ Check existence of casino Du Mois",""
"passed","Wed Sep 20 11:03:40 WAT 2023","Wed Sep 20 11:03:44 WAT 2023","3958","webkit","","Verify page loading","","","// Check existence of *Casinos toplist*",""
